coh_m1,phi_m1,coh_m2,phi_m2,srf,origin
94.06833646807439,24.36455769150271,0.4651315985470318,33.29974536401551,1.4,train
93.30731329450897,26.23351896411966,1.210696784736152,31.04180055215169,1.39,train
92.56488421863133,25.17758011428178,1.35366175055757,37.9351103457593,1.5,train
99.35317151601875,21.76232360398588,0.6886380639107611,34.77240251520521,1.36,train
90.58085482316875,22.82794766227223,1.918416780043897,37.1551645449013,1.38,train
97.39364220956104,21.39233464548506,1.55534394393389,34.15512784573089,1.34,train
98.34160838764441,23.48878288801209,0.8478098117106386,32.31832382434777,1.37,train
99.69508531402727,26.04799933888818,1.451624513378289,34.89466662271613,1.5,train
91.68886208818954,25.66798056232582,1.790526432045786,37.74282773302674,1.51,train
94.95728852213222,26.40226373656629,1.166509300265874,32.5352908639161,1.44,train
100.2501965411826,23.72349841419734,0.08438166793089794,37.0024536071496,1.46,train
97.85857069275096,23.82935453475584,0.4355835948034878,35.48219128366972,1.44,train
92.95807425491721,23.15556328680438,0.5996318865124497,34.11501606456686,1.38,train
95.80054474302239,21.03728823393713,0.2109635484489016,35.95159605874039,1.32,train
92.22937764121413,26.69468973928079,0.7442734963232013,33.60053552532766,1.44,train
98.55867113815705,27.35802948168667,0.1117500571291987,31.77608368136579,1.44,train
100.9339261798026,26.8389242939999,1.03480249509687,32.12713874686956,1.45,train
95.2689847832303,24.31960687895061,1.979573567813768,32.88744768225659,1.4,train
100.1298181542404,27.15065446217807,1.2859308053989,33.26479702020441,1.49,train
101.2014250455819,23.39862109239083,0.2608050895446793,35.62751937334028,1.44,train
99.17808394156798,25.2587451304427,1.641651354004615,34.35754643268344,1.46,train
94.7729856417673,25.02102538720158,0.02690613848743063,37.34858711364562,1.5,train
93.14968656746899,21.67177743866912,0.6151839812461132,37.62334538202519,1.34,train
90.18569363217105,27.74692265177454,0.7684858703440556,36.72223538439912,1.55,train
100.7737050242052,22.51168279315316,0.1519051167725243,36.40434896712891,1.41,train
96.69008785985677,22.94099837912617,1.401541181132614,33.75347275674459,1.38,train
95.4849329432523,24.53871859180599,1.136387921907742,31.97136173712484,1.38,train
94.22921928103685,27.63313158162314,0.8898818317602386,32.67023914927912,1.47,train
97.62623412931742,22.34645759077364,1.807169285795381,33.06906476298563,1.35,train
101.7841611132147,21.91725908227884,1.318634557964878,31.62438371803936,1.32,train
90.70504601953355,21.24778285544027,0.3292096298914695,34.66022224380052,1.31,train
97.05180275422664,25.89271751957417,1.692773790556698,33.91727428784176,1.46,train
101.5237066283467,27.98190448064855,1.50374399408116,31.32014623050604,1.45,train
91.39593905863956,27.02331430055243,1.748859806448515,35.27158978899075,1.51,train
98.85530896891713,23.98225213768275,0.395863500003878,36.1130213352312,1.46,train
91.95278790169364,22.66483479210332,0.9714135973811961,35.73588037037938,1.38,train
93.81990730107243,25.46713935481503,0.9239663798764232,31.46697542546505,1.39,train
91.1935163760359,24.77319049444662,1.855191961408012,36.45539891326599,1.47,train
96.13378915693829,26.57545640942524,0.5163879953480095,35.18099924530129,1.5,train
96.40217320959243,22.17578408782817,1.061567625404117,36.8227759424998,1.38,train
91.8311395053327,21.6839852044239,1.38756182637181,31.8364221063421,1.29,train
99.6555068578106,27.4121665850364,1.24500993302211,37.4796702947932,1.59,train
100.913962241946,22.543332297882,1.72567161001827,37.6398314339973,1.42,train
98.0611244165004,22.4358609512292,0.146445713715169,31.4436945752133,1.32,train
100.687236487208,27.9236715611975,0.260733227833472,36.3061960611429,1.58,train
90.8093820749327,25.826513446144,0.0621144735534759,32.3689548137514,1.41,train
97.546547314168,26.853430015526,1.90971679368071,37.0908203396692,1.57,train
