coh_m1,phi_m1,coh_m2,srf,origin
90.0,28.0,1.0,1.5,train
102.0,21.0,1.0,1.35,train
102.0,24.5,1.0,1.46,train
102.0,24.5,0.0,1.46,train
96.0,28.0,2.0,1.54,train
90.0,24.5,2.0,1.43,train
96.0,28.0,0.0,1.54,train
102.0,28.0,2.0,1.56,train
102.0,21.0,0.0,1.35,train
96.0,21.0,1.0,1.32,train
96.0,21.0,0.0,1.32,train
90.0,28.0,0.0,1.52,train
96.0,28.0,1.0,1.54,train
90.0,24.5,0.0,1.42,train
90.0,21.0,0.0,1.3,train
102.0,24.5,2.0,1.46,train
102.0,21.0,2.0,1.35,train
96.0,24.5,0.0,1.44,train
96.0,21.0,2.0,1.32,train
96.0,24.5,2.0,1.45,train
102.0,28.0,1.0,1.56,train
90.0,21.0,2.0,1.3,train
90.0,24.5,1.0,1.43,train
102.0,28.0,0.0,1.56,train
90.0,21.0,1.0,1.3,train
96.0,24.5,1.0,1.44,train
90.0,28.0,2.0,1.52,train
95.06985939730056,23.756957545752908,0.7236100594603398,1.42,train
98.5909242428724,25.626682527465263,1.358253506556305,1.48,train
99.05833591050795,23.94150354833555,0.609998236863775,1.44,validation
94.35546631988414,24.04533577578768,0.3165739644533364,1.43,validation
92.0147287526978,21.74028569094973,1.056598789346781,1.34,validation
97.13537717984113,24.58246639531681,1.120848539974464,1.45,validation
96.93638898510379,21.02800537225093,0.7824617757198242,1.33,validation
101.9842109514254,21.25843899571844,1.826702351673691,1.36,validation
96.08674809456807,23.18453851932406,1.444504232627409,1.41,validation
90.37653051134251,27.00922575325016,0.2974191611422267,1.49,validation
98.42601572672538,27.90130078492357,0.1949995318776376,1.54,validation
91.0244895053615,26.60944874294006,1.931532678181533,1.49,validation
98.1333147176337,21.60599129606199,1.521698707080311,1.36,validation
96.72536073883371,27.18528592094438,0.1216555091785942,1.52,validation
101.3763365462294,26.15871304345058,0.3412642025674043,1.5,validation
93.13330972380241,22.12393317489872,0.5310125842683977,1.36,validation
93.41577506325622,25.0720104657951,1.782715000857642,1.45,validation
93.79579589495135,25.82576237796825,1.203671857503211,1.47,validation
100.5885499594142,23.50944628587201,1.527417129483435,1.43,validation
100.939352769073,24.07954818716961,0.5056744282815989,1.44,validation
99.4657246501262,23.29988131068515,0.7559933267661589,1.42,validation
92.72589799070839,23.56037577193009,0.9589824471413355,1.41,validation
93.98272406683084,22.5044288858447,0.8387987108048941,1.37,validation
91.29723005514143,21.92771945682119,1.386328249499039,1.34,validation
101.4018615654493,25.72006970389887,0.1737993686059068,1.49,validation
92.69062549551853,27.3686290179137,1.336928331394354,1.51,validation
90.11565297927288,26.05513803281749,0.5535639769760222,1.46,validation
97.3066725065128,24.6988388095595,0.005635188672737035,1.45,validation
92.48652746274021,22.3977899199438,0.366819713533366,1.36,validation
90.20454843300486,21.83367472023595,0.3755441751774862,1.34,validation
92.35713183968745,25.62781350515255,0.04750624962304746,1.46,validation
98.62812654431578,23.68585615611327,0.8244012447741159,1.43,validation
100.2840104911347,27.80199193756063,1.730705852679835,1.55,validation
100.0894908840527,23.26790410500782,1.662412538707627,1.42,validation
93.22695297797368,24.29246505390585,0.8626807738627486,1.43,validation
